generated_at,asset,isin,ticker_used,source,price,return_ytd_pct,return_1y_pct,volatility_1y_pct,sharpe_1y_ecb,sharpe_1y_xeon,max_drawdown_pct,ath_52w,pct_below_ath,ecb_12m_weighted_avg_pct,xeon_12m_annualized_return_pct,notes
2026-08-28T14:32:43.306555+00:00,XAIX,IE00BGV5VN51,XAIX.DE,yfinance,206.75,33.7495132300254,46.6104054291077,32.34702613281514,1.3775777055413498,1.3789256740010938,-33.0804754347501,220.3000030517578,-6.15070488608861,2.0498633879781423,2.00626061698459,max_drawdown_pct calculado sobre os ultimos 5 anos (historico mais longo disponivel)
2026-08-28T15:44:56.093289+00:00,FLXI,IE00BHZRQZ17,FLXI.DE,yfinance,35.8650016784668,-7.433210305363847,-4.104277499427289,14.763958274632023,-0.4168354294240795,-0.41319140238775554,-24.761253985894637,39.790000915527344,-9.864285365042269,2.0498633879781423,1.996063124862224,Ticker a confirmar; alternativa FRIN.L (LSE).; max_drawdown_pct calculado sobre os ultimos 5 anos (historico mais longo disponivel)
2026-08-28T15:44:56.093289+00:00,4GLD,DE000A0S9GB0,4GLD.DE,yfinance,126.47000122070312,6.9785145616757305,34.68583510709304,25.52788340011491,1.2784440921948113,1.2805516019429823,-22.489523413781864,145.49000549316406,-13.073065883796808,2.0498633879781423,1.996063124862224,max_drawdown_pct calculado sobre os ultimos 5 anos (historico mais longo disponivel)
2026-08-28T15:44:56.093289+00:00,EMXC,LU2009202107,EMXC.DE,yfinance,40.970001220703125,35.1476183372488,58.15479689148935,31.97548823357953,1.7546232005487186,1.756305747589843,-20.482849028545914,44.80500030517578,-8.559310475062409,2.0498633879781423,1.996063124862224,max_drawdown_pct calculado sobre os ultimos 5 anos (historico mais longo disponivel)
2026-08-28T15:44:56.093289+00:00,MEUD,LU0908500753,MEUD.DE,none,,,,,,,,,,2.0498633879781423,1.996063124862224,Ticker a confirmar; alternativa MEUD.PA (Euronext Paris).; yfinance falhou para 'MEUD.DE': yfinance devolveu historico vazio para 'MEUD.DE'; Fallback Twelve Data tambem falhou: 404 Client Error: Not Found for url: https://api.twelvedata.com/time_series?symbol=MEUD&interval=1day&outputsize=5000&apikey=0fc8428e960648dc8e86151c8352311d&exchange=XETRA; sem dados disponiveis
2026-08-28T15:44:56.093289+00:00,EUDF,IE0002Y8CX98,EUDF.DE,yfinance,32.744998931884766,6.366734104880689,10.364000160713571,28.150890781578862,0.2953418716744822,0.29725301059841014,-19.505299274997235,35.375,-7.434631994672037,2.0498633879781423,1.996063124862224,Ticker a confirmar; alternativa WDEF.L (LSE).
2026-08-28T15:44:56.093289+00:00,QDVE,IE00BJK9422,QDVE.DE,yfinance,44.75,25.437984462553253,34.525780312882006,22.827651053645134,1.4226569719584918,1.425013774372787,-29.82743631010617,46.0099983215332,-2.7385315529201204,2.0498633879781423,1.996063124862224,max_drawdown_pct calculado sobre os ultimos 5 anos (historico mais longo disponivel)
2026-08-28T15:44:56.093289+00:00,WEBN,IE0003XJA0J9,WEBN.DE,yfinance,12.994000434875488,15.997150725497411,23.44670726411533,24.30552338391408,0.8803284561359448,0.8825419556054327,-21.21774843286368,13.076000213623047,-0.6271013873350051,2.0498633879781423,1.996063124862224,
2026-08-28T15:44:56.093289+00:00,EUNN,IE00B4L5YX21,EUNN.DE,yfinance,71.69999694824219,21.319794922902457,27.25400166090712,19.231407894828596,1.3105716654112711,1.313369186186148,-19.406088881082482,73.5,-2.448983743888178,2.0498633879781423,1.996063124862224,max_drawdown_pct calculado sobre os ultimos 5 anos (historico mais longo disponivel)
2026-08-28T15:44:56.093289+00:00,SP2Q,IE00BNGJJT35,SP2Q.DE,yfinance,65.23999786376953,17.253771709974398,20.058884211583017,10.00597250372732,1.7998271349332955,1.8052039499401202,-22.733365247141503,65.75,-0.7756686482592645,2.0498633879781423,1.996063124862224,"Ticker Yahoo a confirmar (SP2Q); cobertura directa pode nao existir. Fallback Twelve Data usa RSP (Invesco S&P 500 Equal Weight ETF, US) como PROXY do mesmo indice - nao e o mesmo fundo UCITS, serve apenas de aproximacao quando SP2Q nao tem dados.; max_drawdown_pct calculado sobre os ultimos 5 anos (historico mais longo disponivel)"
2026-08-28T15:44:56.093289+00:00,IUSN,IE00BF4RFH31,IUSN.DE,yfinance,9.210000038146973,18.808052249346474,24.459458370988973,13.589876840121976,1.6489917639908276,1.6529506124593494,-24.315517984407485,9.32800006866455,-1.2650088941784432,2.0498633879781423,1.996063124862224,max_drawdown_pct calculado sobre os ultimos 5 anos (historico mais longo disponivel)
2026-08-28T15:44:56.093289+00:00,XAIX,IE00BGV5VN51,XAIX.DE,yfinance,208.8000030517578,35.0756893378497,48.06410206054239,32.4409091296063,1.4184016387682128,1.4200600467647635,-33.0804754347501,220.3000030517578,-5.220154262684307,2.0498633879781423,1.996063124862224,max_drawdown_pct calculado sobre os ultimos 5 anos (historico mais longo disponivel)
2026-08-28T15:46:55.572587+00:00,FLXI,IE00BHZRQZ17,FLXI.DE,yfinance,35.8650016784668,-7.433210305363847,-4.104277499427289,14.763958274632023,-0.4168354294240795,-0.41319140238775554,-24.761253985894637,39.790000915527344,-9.864285365042269,2.0498633879781423,1.996063124862224,Ticker a confirmar; alternativa FRIN.L (LSE).; max_drawdown_pct calculado sobre os ultimos 5 anos (historico mais longo disponivel)
2026-08-28T15:46:55.572587+00:00,4GLD,DE000A0S9GB0,4GLD.DE,yfinance,126.56999969482422,7.063101326257493,34.792329752988806,25.526534661490015,1.282683560428858,1.284791181530953,-22.489523413781864,145.49000549316406,-13.004333688906765,2.0498633879781423,1.996063124862224,max_drawdown_pct calculado sobre os ultimos 5 anos (historico mais longo disponivel)
2026-08-28T15:46:55.572587+00:00,EMXC,LU2009202107,EMXC.DE,yfinance,40.970001220703125,35.1476183372488,58.15479689148935,31.97548823357953,1.7546232005487186,1.756305747589843,-20.482849028545914,44.80500030517578,-8.559310475062409,2.0498633879781423,1.996063124862224,max_drawdown_pct calculado sobre os ultimos 5 anos (historico mais longo disponivel)
2026-08-28T15:46:55.572587+00:00,MEUD,LU0908500753,MEUD.PA,yfinance,323.04998779296875,12.431699749416602,21.602794300888895,12.720096358689645,1.5371684585984529,1.5413980069917057,-16.179756870039707,325.20001220703125,-0.6611390938982331,2.0498633879781423,1.996063124862224,
2026-08-28T15:46:55.572587+00:00,EUDF,IE0002Y8CX98,EUDF.DE,yfinance,32.744998931884766,6.366734104880689,10.364000160713571,28.150890781578862,0.2953418716744822,0.29725301059841014,-19.505299274997235,35.375,-7.434631994672037,2.0498633879781423,1.996063124862224,Ticker a confirmar; alternativa WDEF.L (LSE).
2026-08-28T15:46:55.572587+00:00,QDVE,IE00BJK9422,QDVE.DE,yfinance,44.75,25.437984462553253,34.525780312882006,22.827651053645134,1.4226569719584918,1.425013774372787,-29.82743631010617,46.0099983215332,-2.7385315529201204,2.0498633879781423,1.996063124862224,max_drawdown_pct calculado sobre os ultimos 5 anos (historico mais longo disponivel)
2026-08-28T15:46:55.572587+00:00,WEBN,IE0003XJA0J9,WEBN.DE,yfinance,12.994000434875488,15.997150725497411,23.44670726411533,24.30552338391408,0.8803284561359448,0.8825419556054327,-21.21774843286368,13.076000213623047,-0.6271013873350051,2.0498633879781423,1.996063124862224,
2026-08-28T15:46:55.572587+00:00,EUNN,IE00B4L5YX21,EUNN.DE,yfinance,71.7300033569336,21.370567189342605,27.307257389553953,19.234544771822186,1.3131266843693046,1.3159237489088684,-19.406088881082482,73.5,-2.408158698049534,2.0498633879781423,1.996063124862224,max_drawdown_pct calculado sobre os ultimos 5 anos (historico mais longo disponivel)
2026-08-28T15:46:55.572587+00:00,SP2Q,IE00BNGJJT35,SP2Q.DE,yfinance,65.23999786376953,17.253771709974398,20.058884211583017,10.00597250372732,1.7998271349332955,1.8052039499401202,-22.733365247141503,65.75,-0.7756686482592645,2.0498633879781423,1.996063124862224,"Ticker Yahoo a confirmar (SP2Q); cobertura directa pode nao existir. Fallback Twelve Data usa RSP (Invesco S&P 500 Equal Weight ETF, US) como PROXY do mesmo indice - nao e o mesmo fundo UCITS, serve apenas de aproximacao quando SP2Q nao tem dados.; max_drawdown_pct calculado sobre os ultimos 5 anos (historico mais longo disponivel)"
2026-08-28T15:46:55.572587+00:00,IUSN,IE00BF4RFH31,IUSN.DE,yfinance,9.208999633789062,18.79514713612902,24.445939393353598,13.589690052314902,1.6480196324683984,1.6519785353505694,-24.315517984407485,9.32800006866455,-1.2757336406465591,2.0498633879781423,1.996063124862224,max_drawdown_pct calculado sobre os ultimos 5 anos (historico mais longo disponivel)
2026-08-28T15:46:55.572587+00:00,XAIX,IE00BGV5VN51,XAIX.DE,yfinance,208.8000030517578,35.0756893378497,48.06410206054239,32.4409091296063,1.4184016387682128,1.4200600467647635,-33.0804754347501,220.3000030517578,-5.220154262684307,2.0498633879781423,1.996063124862224,max_drawdown_pct calculado sobre os ultimos 5 anos (historico mais longo disponivel)
2026-08-28T15:51:25.511945+00:00,FLXI,IE00BHZRQZ17,FLXI.DE,yfinance,35.834999084472656,-7.510646348262917,-4.1844983357108845,14.763163779821012,-0.422291713122525,-0.4193382289206393,-24.761253985894637,39.790000915527344,-9.939687710616052,2.0498633879781423,2.00626061698459,Ticker a confirmar; alternativa FRIN.L (LSE).; max_drawdown_pct calculado sobre os ultimos 5 anos (historico mais longo disponivel)
2026-08-28T15:51:25.511945+00:00,4GLD,DE000A0S9GB0,4GLD.DE,yfinance,126.33000183105469,6.860091800550006,34.53674097783485,25.5301834337114,1.2724890000970117,1.2741968911157646,-22.489523413781864,145.49000549316406,-13.169292005428934,2.0498633879781423,2.00626061698459,max_drawdown_pct calculado sobre os ultimos 5 anos (historico mais longo disponivel)
2026-08-28T15:51:25.511945+00:00,EMXC,LU2009202107,EMXC.DE,yfinance,40.974998474121094,35.164102761889836,58.17408758164766,31.975755797697165,1.7552118094957267,1.7565754292102824,-20.482849028545914,44.80500030517578,-8.548157136408395,2.0498633879781423,2.00626061698459,max_drawdown_pct calculado sobre os ultimos 5 anos (historico mais longo disponivel)
2026-08-28T15:51:25.511945+00:00,MEUD,LU0908500753,MEUD.PA,yfinance,322.8500061035156,12.362099742874012,21.527516996553885,12.721307052176053,1.5311047464453724,1.534532285047712,-16.179756870039707,325.20001220703125,-0.7226340760465688,2.0498633879781423,2.00626061698459,
2026-08-28T15:51:25.511945+00:00,EUDF,IE0002Y8CX98,EUDF.DE,yfinance,32.72999954223633,6.318011058842754,10.313446100687052,28.15260564869967,0.29352816630280876,0.2950769668485787,-19.505299274997235,35.375,-7.47703309615172,2.0498633879781423,2.00626061698459,Ticker a confirmar; alternativa WDEF.L (LSE).
2026-08-28T15:51:25.511945+00:00,QDVE,IE00BJK9422,QDVE.DE,yfinance,44.720001220703125,25.35389538073567,34.43559910185752,22.815450032068288,1.4194651286018711,1.421376235809148,-29.82743631010617,46.0099983215332,-2.80373211886501,2.0498633879781423,2.00626061698459,max_drawdown_pct calculado sobre os ultimos 5 anos (historico mais longo disponivel)
2026-08-28T15:51:25.511945+00:00,WEBN,IE0003XJA0J9,WEBN.DE,yfinance,12.98799991607666,15.943584228633934,23.389700625451248,24.303336071889483,0.87806205593955,0.8798561623480107,-21.21774843286368,13.076000213623047,-0.6729909460746586,2.0498633879781423,2.00626061698459,
2026-08-28T15:51:25.511945+00:00,EUNN,IE00B4L5YX21,EUNN.DE,yfinance,71.62000274658203,21.184440940287395,27.11202700673421,19.223504983587727,1.3037249783612903,1.3059931792450927,-19.406088881082482,73.5,-2.5578193924054027,2.0498633879781423,2.00626061698459,max_drawdown_pct calculado sobre os ultimos 5 anos (historico mais longo disponivel)
2026-08-28T15:51:25.511945+00:00,SP2Q,IE00BNGJJT35,SP2Q.DE,yfinance,65.20999908447266,17.199855858741575,20.003678508210477,10.005355446504238,1.7944205197132903,1.7987784629394639,-22.733365247141503,65.75,-0.8212941681024266,2.0498633879781423,2.00626061698459,"Ticker Yahoo a confirmar (SP2Q); cobertura directa pode nao existir. Fallback Twelve Data usa RSP (Invesco S&P 500 Equal Weight ETF, US) como PROXY do mesmo indice - nao e o mesmo fundo UCITS, serve apenas de aproximacao quando SP2Q nao tem dados.; max_drawdown_pct calculado sobre os ultimos 5 anos (historico mais longo disponivel)"
2026-08-28T15:51:25.511945+00:00,IUSN,IE00BF4RFH31,IUSN.DE,yfinance,9.199000358581543,18.666157515456927,24.310814054452877,13.588307024579876,1.6382431325850175,1.6414519775805476,-24.315517984407485,9.32800006866455,-1.3829299864217992,2.0498633879781423,2.00626061698459,max_drawdown_pct calculado sobre os ultimos 5 anos (historico mais longo disponivel)
2026-08-28T15:51:25.511945+00:00,XAIX,IE00BGV5VN51,XAIX.DE,yfinance,208.8000030517578,35.0756893378497,48.06410206054239,32.4409091296063,1.4184016387682128,1.4197457062485461,-33.0804754347501,220.3000030517578,-5.220154262684307,2.0498633879781423,2.00626061698459,max_drawdown_pct calculado sobre os ultimos 5 anos (historico mais longo disponivel)
2026-08-28T17:18:27.668312+00:00,FLXI,IE00BHZRQZ17,FLXI.DE,yfinance,35.834999084472656,-7.510646348262917,-4.1844983357108845,14.763163779821012,-0.422291713122525,-0.4193382289206393,-24.761253985894637,39.790000915527344,-9.939687710616052,2.0498633879781423,2.00626061698459,Ticker a confirmar; alternativa FRIN.L (LSE).; max_drawdown_pct calculado sobre os ultimos 5 anos (historico mais longo disponivel)
2026-08-28T17:18:27.668312+00:00,4GLD,DE000A0S9GB0,4GLD.DE,yfinance,126.33000183105469,6.860091800550006,34.53674097783485,25.5301834337114,1.2724890000970117,1.2741968911157646,-22.489523413781864,145.49000549316406,-13.169292005428934,2.0498633879781423,2.00626061698459,max_drawdown_pct calculado sobre os ultimos 5 anos (historico mais longo disponivel)
2026-08-28T17:18:27.668312+00:00,EMXC,LU2009202107,EMXC.DE,yfinance,40.974998474121094,35.164102761889836,58.17408758164766,31.975755797697165,1.7552118094957267,1.7565754292102824,-20.482849028545914,44.80500030517578,-8.548157136408395,2.0498633879781423,2.00626061698459,max_drawdown_pct calculado sobre os ultimos 5 anos (historico mais longo disponivel)
2026-08-28T17:18:27.668312+00:00,MEUD,LU0908500753,MEUD.PA,yfinance,322.8500061035156,12.362099742874012,21.527516996553885,12.721307052176053,1.5311047464453724,1.534532285047712,-16.179756870039707,325.20001220703125,-0.7226340760465688,2.0498633879781423,2.00626061698459,
2026-08-28T17:18:27.668312+00:00,EUDF,IE0002Y8CX98,EUDF.DE,yfinance,32.72999954223633,6.318011058842754,10.313446100687052,28.15260564869967,0.29352816630280876,0.2950769668485787,-19.505299274997235,35.375,-7.47703309615172,2.0498633879781423,2.00626061698459,Ticker a confirmar; alternativa WDEF.L (LSE).
2026-08-28T17:18:27.668312+00:00,QDVE,IE00BJK9422,QDVE.DE,yfinance,44.720001220703125,25.35389538073567,34.43559910185752,22.815450032068288,1.4194651286018711,1.421376235809148,-29.82743631010617,46.0099983215332,-2.80373211886501,2.0498633879781423,2.00626061698459,max_drawdown_pct calculado sobre os ultimos 5 anos (historico mais longo disponivel)
2026-08-28T17:18:27.668312+00:00,WEBN,IE0003XJA0J9,WEBN.DE,yfinance,12.98799991607666,15.943584228633934,23.389700625451248,24.303336071889483,0.87806205593955,0.8798561623480107,-21.21774843286368,13.076000213623047,-0.6729909460746586,2.0498633879781423,2.00626061698459,
2026-08-28T17:18:27.668312+00:00,EUNN,IE00B4L5YX21,EUNN.DE,yfinance,71.62000274658203,21.184440940287395,27.11202700673421,19.223504983587727,1.3037249783612903,1.3059931792450927,-19.406088881082482,73.5,-2.5578193924054027,2.0498633879781423,2.00626061698459,max_drawdown_pct calculado sobre os ultimos 5 anos (historico mais longo disponivel)
2026-08-28T17:18:27.668312+00:00,SP2Q,IE00BNGJJT35,SP2Q.DE,yfinance,65.20999908447266,17.199855858741575,20.003678508210477,10.005355446504238,1.7944205197132903,1.7987784629394639,-22.733365247141503,65.75,-0.8212941681024266,2.0498633879781423,2.00626061698459,"Ticker Yahoo a confirmar (SP2Q); cobertura directa pode nao existir. Fallback Twelve Data usa RSP (Invesco S&P 500 Equal Weight ETF, US) como PROXY do mesmo indice - nao e o mesmo fundo UCITS, serve apenas de aproximacao quando SP2Q nao tem dados.; max_drawdown_pct calculado sobre os ultimos 5 anos (historico mais longo disponivel)"
2026-08-28T17:18:27.668312+00:00,IUSN,IE00BF4RFH31,IUSN.DE,yfinance,9.199000358581543,18.666157515456927,24.310814054452877,13.588307024579876,1.6382431325850175,1.6414519775805476,-24.315517984407485,9.32800006866455,-1.3829299864217992,2.0498633879781423,2.00626061698459,max_drawdown_pct calculado sobre os ultimos 5 anos (historico mais longo disponivel)
2026-08-28T17:18:27.668312+00:00,XAIX,IE00BGV5VN51,XAIX.DE,yfinance,208.8000030517578,35.0756893378497,48.06410206054239,32.4409091296063,1.4184016387682128,1.4197457062485461,-33.0804754347501,220.3000030517578,-5.220154262684307,2.0498633879781423,2.00626061698459,max_drawdown_pct calculado sobre os ultimos 5 anos (historico mais longo disponivel)
